+10p	6.37303
+10p	6.37504
+10p	6.37706
+10p	6.37910
+10p	6.38116
+10p	6.38323
+10p	6.38533
+10p	6.38745
+10p	6.38958
+10p	6.39173
+10p	6.39390
+10p	6.39608
+10p	6.39828
+10p	6.40050
+10p	6.40274
+10p	6.40500
+10p	6.40727
+10p	6.40956
+10p	6.41186
+10p	6.41418
+10p	6.41652
+10p	6.41887
+10p	6.42125
+10p	6.42363
+10p	6.42603
+10p	6.42845
+10p	6.43089
+10p	6.43334
+10p	6.43580
+10p	6.43828
+10p	6.44078
+10p	6.44329
+10p	6.44581
+10p	6.44836
+10p	6.45091
+10p	6.45348
+10p	6.45607
+10p	6.45866
+10p	6.46128
+10p	6.46390
+10p	6.46655
+10p	6.46920
+10p	6.47187
+10p	6.47455
+10p	6.47725
+10p	6.47996
+10p	6.48268
+10p	6.48542
+10p	6.48817
+10p	6.49093
+10p	6.49371
+10p	6.49650
+10p	6.49930
+10p	6.50211
+10p	6.50494
+10p	6.50778
+10p	6.51063
+10p	6.51349
+10p	6.51637
+10p	6.51925
+10p	6.52215
+10p	6.52506
+10p	6.52798
+10p	6.53092
+10p	6.53386
+10p	6.53682
+10p	6.53979
+10p	6.54277
+10p	6.54576
+10p	6.54876
+10p	6.55177
+10p	6.55479
+10p	6.55783
+10p	6.56087
+10p	6.56393
+10p	6.56699
+10p	6.57007
+10p	6.57315
+10p	6.57625
+10p	6.57935
+10p	6.58247
+10p	6.58559
+10p	6.58873
+10p	6.59187
+10p	6.59503
+10p	6.59819
+10p	6.60136
+10p	6.60454
+10p	6.60773
+10p	6.61093
+10p	6.61414
+10p	6.61736
+10p	6.62059
+10p	6.62382
+10p	6.62707
+10p	6.63032
+10p	6.63358
+10p	6.63685
+10p	6.64013
+10p	6.64342
+10p	6.64671
+10p	6.65001
+10p	6.65332
+10p	6.65664
+10p	6.65997
+10p	6.66330
+10p	6.66664
+10p	6.66999
+10p	6.67334
+10p	6.67671
+10p	6.68008
+10p	6.68346
+10p	6.68684
+10p	6.69023
+10p	6.69363
+10p	6.69704
+10p	6.70045
+10p	6.70387
+10p	6.70730
+10p	6.71073
+10p	6.71417
+10p	6.71761
+10p	6.72107
+10p	6.72453
+10p	6.72799
+10p	6.73146
+10p	6.73494
+10p	6.73842
+10p	6.74191
+10p	6.74540
+10p	6.74890
+10p	6.75241
+10p	6.75592
+10p	6.75944
+10p	6.76296
+10p	6.76649
+10p	6.77002
+10p	6.77356
+10p	6.77710
+10p	6.78065
+10p	6.78421
+10p	6.78777
+10p	6.79133
+10p	6.79490
+10p	6.79847
+10p	6.80205
+10p	6.80563
+10p	6.80922
+10p	6.81281
+10p	6.81641
+10p	6.82001
+10p	6.82362
+10p	6.82723
+10p	6.83084
+10p	6.83446
+10p	6.83808
+10p	6.84171
+10p	6.84534
+10p	6.84897
+10p	6.85261
+10p	6.85625
+10p	6.85990
+10p	6.86355
+10p	6.86720
+10p	6.87085
+10p	6.87451
+10p	6.87818
+10p	6.88184
+10p	6.88551
+10p	6.88919
+10p	6.89286
+10p	6.89654
+10p	6.90022
+10p	6.90391
+10p	6.90760
+10p	6.91129
+10p	6.91498
+10p	6.91868
+10p	6.92238
+10p	6.92608
+10p	6.92978
+10p	6.93349
+10p	6.93720
+10p	6.94091
+10p	6.94463
+10p	6.94834
+10p	6.95206
+10p	6.95579
+10p	6.95951
+10p	6.96324
+10p	6.96696
+10p	6.97069
+10p	6.97443
+10p	6.97816
+10p	6.98189
+10p	6.98563
+10p	6.98937
+10p	6.99311
+10p	6.99686
+10p	7.00060
+10p	7.00435
+10p	7.00809
+10p	7.01184
+10p	7.01559
+10p	7.01934
+10p	7.02310
+10p	7.02685
+10p	7.03061
+10p	7.03436
+10p	7.03812
+10p	7.04188
+10p	7.04564
+10p	7.04940
+10p	7.05317
+10p	7.05693
+10p	7.06069
+10p	7.06446
+10p	7.06822
+10p	7.07199
+10p	7.07576
+10p	7.07952
+10p	7.08329
+10p	7.08706
+10p	7.09083
